"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22385","Authenticate","setup","2026-09-24","passed","2026-09-24","","","",""
"","3596","Edit phone number","chromium","2026-09-24","passed","2026-09-24","Account settings","","",""
"","9514","Edit restaurant name","chromium","2026-09-24","passed","2026-09-24","Account settings","","",""
"","3506","Verify account email","chromium","2026-09-24","passed","2026-09-24","Account settings","","",""
"","5421","Click website domain opens About Us page in new tab","chromium","2026-09-24","passed","2026-09-24","Dashboard","","",""
"","2375","Verify website domain","chromium","2026-09-24","passed","2026-09-24","Account settings","","",""
"","5629","Log out account through header","chromium","2026-09-24","passed","2026-09-24","Dashboard","","",""
"","3168","Log out account through account settings","chromium","2026-09-24","passed","2026-09-24","Account settings","","",""
